Description,Word No.,Valence Mean,Valence Std,Arousal Mean,Arousal Std,Dominance Mean,Dominance Std
abduct,621,2.76,-2.06,5.53,-2.43,3.49,-2.38
abl,1041,6.74,-2,4.3,-2.17,6.83,-2.04
abort,622,3.5,-2.3,5.39,-2.8,4.59,-2.54
absent,1042,3.69,-1.72,4.73,-1.76,4.35,-1.87
absurd,623,4.26,-1.82,4.36,-2.2,4.73,-1.72
abund,624,6.59,-2.01,5.51,-2.63,5.8,-2.16
abus,1,1.8,-1.23,6.83,-2.7,3.69,-2.94
accept,1043,6.8,-2.11,5.53,-1.96,5.41,-1.92
access,1044,6.14,-1.62,5.07,-1.68,6.25,-1.53
accid,2,2.05,-1.19,6.26,-2.87,3.76,-2.22
accord,1045,5.53,-1.2,4.24,-1.72,5.31,-1.2
accost,1046,4.28,-1.41,5.24,-1.92,4.38,-1.61
accus,1047,2.54,-1.37,6.57,-1.93,4.07,-2.28
ace,626,6.88,-1.93,5.5,-2.66,6.39,-2.31
ach,627,2.46,-1.52,5,-2.45,3.54,-1.73
achiev,3,7.89,-1.38,5.53,-2.81,6.56,-2.35
acr,1048,5.66,-1.26,4.9,-1.88,6.04,-1.67
action,1049,6.63,-1.45,6.53,-1.87,5.63,-2.06
activ,4,5.46,-0.98,4.86,-2.56,5.43,-1.84
actor,1050,7.13,-1.31,6.07,-1.89,4.97,-1.73
ad,1051,5,-1.22,4.29,-1.7,5,-1.12
adapt,1052,5.72,-1.14,4.52,-1.86,5.43,-1.41
addict,581,2.48,-2.08,5.66,-2.26,3.72,-2.54
adher,1053,5.03,-1.16,4.07,-1.74,4.33,-1.77
adjust,1054,5.25,-1.55,5.39,-1.69,4.86,-1.46
admir,1055,7.63,-0.93,6.2,-1.79,6.27,-1.6
admit,1056,4.93,-1.53,4.97,-1.86,4.45,-1.96
adopt,1057,6.52,-1.29,4.71,-1.99,5.88,-1.39
ador,6,7.81,-1.24,5.12,-2.71,5.74,-2.48
adorn,1059,6.11,-1.12,4.56,-1.89,5.22,-1.28
adult,546,6.49,-1.5,4.76,-1.95,5.75,-2.21
advantag,629,6.95,-1.85,4.76,-2.18,6.36,-2.23
adventur,630,7.6,-1.5,6.98,-2.15,6.46,-1.67
advic,1060,6.17,-1.42,5.17,-1.74,5.47,-2.1
affair,1061,3.12,-1.94,6.21,-2.54,3.71,-2.16
affect,7,8.39,-0.86,6.21,-2.75,6.08,-2.22
affection,1062,7.2,-1.85,5.67,-2.83,5.57,-2.21
affirm,1063,6.17,-1.23,4.79,-1.37,6.07,-1.25
afford,1064,6.27,-2.02,5.31,-2.11,5.76,-2.42
afraid,8,2,-1.28,6.67,-2.54,3.98,-2.63
aggrav,1065,2.66,-1.45,5.79,-2.16,4.28,-2.02
aggress,9,5.1,-1.68,5.83,-2.33,5.59,-2.4
agil,22,6.46,-1.57,4.85,-1.8,5.87,-1.52
agoni,10,2.43,-2.17,6.06,-2.67,4.02,-2.49
agre,1067,7,-1.08,4.59,-1.56,6.28,-1.28
agreement,631,7.08,-1.59,5.02,-2.24,6.22,-1.85
aid,1068,6.93,-1.16,5.41,-1.78,5.55,-1.99
ail,1069,3.7,-1.73,4.59,-2.01,4.21,-2.08
air,632,6.34,-1.56,4.12,-2.3,5.1,-1.56
airplan,1070,6.43,-1.94,6.77,-1.59,3.73,-2.24
airport,1071,5.9,-2.09,5.97,-2.01,4.41,-1.82
alarm,1072,2.86,-1.65,7.36,-2.3,3.75,-1.96
album,1073,6.21,-1.73,5.18,-2.21,5.04,-1.6
alcohol,1074,5.97,-2.15,5.94,-1.82,5.5,-1.78
alcov,1075,5.32,-0.98,4.19,-1.64,4.93,-1.47
alert,11,6.2,-1.76,6.85,-2.53,5.96,-2.24
alien,633,5.6,-1.82,5.45,-2.15,4.64,-2.07
alimoni,634,3.95,-2,4.3,-2.29,4.63,-2.3
aliv,635,7.25,-2.22,5.5,-2.74,6.39,-2.15
alleg,1076,4.37,-1.4,3.87,-1.78,4.77,-1.04
allergi,636,3.07,-1.64,4.64,-2.34,3.21,-1.77
alley,637,4.48,-1.97,4.91,-2.42,4,-1.7
alon,12,2.41,-1.77,4.83,-2.66,3.7,-2.42
aloof,13,4.9,-1.92,4.28,-2.1,4.69,-1.92
alter,1077,5.76,-1.5,4.93,-2.31,5.96,-1.29
amaz,1078,7.57,-1.41,6.9,-1.94,5.57,-1.63
ambit,14,7.04,-1.98,5.61,-2.92,6.93,-2.07
ambiti,1079,7.62,-1.35,6.57,-2.28,6.93,-1.92
ambul,15,2.47,-1.5,7.33,-1.96,3.22,-2.29
ambush,1080,4.03,-1.8,6.23,-1.52,4,-2
amus,1081,7.57,-1.38,5.97,-2.28,5.93,-1.28
anarchi,1083,3.58,-1.71,5.48,-2.17,3.65,-1.96
ancestor,1084,5.73,-1.74,4.27,-2.03,4.83,-2.05
angel,16,7.53,-1.58,4.83,-2.63,4.97,-2.34
anger,17,2.34,-1.32,7.63,-1.91,5.5,-2.82
angri,18,2.85,-1.7,7.17,-2.07,5.55,-2.74
anguish,19,2.12,-1.56,5.33,-2.69,3.45,-2.37
anim,1085,6.48,-1.55,5.55,-1.53,6,-1.6
ankl,638,5.27,-1.54,4.16,-2.03,4.77,-1.74
annoy,1086,2.96,-1.65,5.52,-2.49,4.44,-2
answer,639,6.63,-1.68,5.41,-2.43,5.85,-1.88
antiqu,1088,5.39,-1.91,4.06,-2.26,5.19,-1.99
anu,1089,4.52,-2.06,4.28,-2.32,5.48,-1.36
anxieti,1090,2.77,-1.59,6.72,-1.94,2.72,-1.83
anxiou,21,4.81,-1.98,6.92,-1.81,5.33,-1.82
apart,1091,6.8,-1.35,4.75,-1.92,6.67,-1.88
apathi,1092,4.3,-1.95,4,-2.1,4.33,-1.65
apolog,1093,5,-2.22,5.18,-1.66,5.31,-2.19
appal,1094,3.61,-2.18,6.5,-2.67,4.61,-2.28
applaus,640,7.5,-1.5,5.8,-2.79,6.48,-2.11
appl,1095,6.41,-1.5,4.17,-2.11,5.86,-1.64
applianc,641,5.1,-1.21,4.05,-2.06,5.05,-1.34
applic,1096,4.69,-1.65,5.62,-2.27,3.9,-1.63
appreci,1097,7.43,-1.36,5.73,-2.23,5.9,-1.75
apprehens,1098,3.03,-1.61,5.68,-2.26,3.11,-1.4
arch,1099,5.37,-1.08,4.37,-2.29,5.07,-2.02
area,1100,5.45,-1.77,3.8,-2.19,5.23,-1.59
arena,1101,6.4,-1.61,6.43,-2.05,5.1,-2.02
argu,1102,2.83,-1.23,6.07,-2.12,4.7,-2.25
arm,642,5.34,-1.82,3.59,-2.4,5.07,-1.5
armi,23,4.72,-1.75,5.03,-2.03,5.03,-2.45
aroma,1103,7.17,-1.81,5.19,-2.62,5.5,-1.75
arous,1104,7.48,-1.33,6.97,-2.16,6.1,-2.14
arrog,25,3.69,-2.4,5.65,-2.23,5.14,-2.71
arrow,1105,5.17,-1.66,5.37,-1.88,4.87,-2.01
arson,1106,2.6,-2.12,6.58,-2.7,3.46,-2.48
art,643,6.68,-2.1,4.86,-2.88,5.3,-2.33
artist,1107,6.59,-1.72,4.94,-2.44,5.91,-1.35
